subject,code,name,topic,topic2,coreCSmajor,reqCSminor,eltCSminor,coreCYmajor,reqCYminor,eltCYminor,CertGD,CertCT,CertWM,unavailable,AvailFall,AvailSpring,AvailSummer,PreCourse1AND,PCAGrade1,PreCourse2AND,PCAGrade2,PreCourse3AND,PCAGrade3,PreCourse4AND,PCAGrade4,prestandings,preapproval,PreCourse1OR,PCOGrade1,PreCourse2OR,PCOGrade2,CoreCourse1
Computer Science,CS1191,Freshman Research I,Research,,,,,,,,,,,,O,O,O,,,,,,,,,,O,,,,,
Computer Science,CS1314,Introduction to Programming and Problem Solving,Python,,,,1,,,,,,1,,O,O,O,,,,,,,,,,,,,,,
Computer Science,CS1336,Computer Science I ,C++,,1,1,,1,,,,,,,O,O,O,,,,,,,,,,,,,,,
Computer Science,CS1337,Computer Science II,C++,,1,1,,1,,,,,,,O,O,O,CS1336,D,,,,,,,,,,,,,
Computer Science,CS1351,Java Programming,Java,,,,1,,,,,,1,,O,O,,,,,,,,,,,,,,,,
Computer Science,CS1371,Introduction to Computer Game Development,Game Development,,,,,,,,,,,,,O,,,,,,,,,,,,,,,,
Computer Science,CS1391,Freshman Research II,Research,,,,,,,,,,,,O,O,O,,,,,,,,,,O,,,,,
Computer Science,CS2324,3D Modeling and Animation I,3D Modeling,Animation,,,,,,,,,,,,O,,,,,,,,,,,,,,,,
Computer Science,CS2336,Data Structures and Algorithms,Data Structure,C++,1,1,,1,,,,,,,O,O,O,CS1337,D,,,,,,,,,,,,,
Computer Science,CS3304,Computer Organization,Assembly,,1,,1,,,,,,,,,O,,CS1337,D,,,,,,,,,,,,,
Computer Science,CS3310,Principles of Linux,Cybersecurity,Linux,,,1,1,,1,,1,,,O,,,CS1337,D,,,,,,,,,,,,,
Computer Science,CS3311,Database Systems,Database,SQL,1,,1,1,,,,,,,O,,,CS1337,D,,,,,,,,,,,,,
Computer Science,CS3312,Web Programming,Web Development,HTML,,,1,,,,,,2,,,O,,,,,,,,,,,,CS3311,D,MGMT4344,D,
Computer Science,CS3313,Cloud Computing,Cloud Computing,,,,1,,,,,,,TRUE,,,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS3325,3D Modeling and Animation II,3D Modeling,Animation,,,1,,,,,,,,,O,,CS2324,D,,,,,,,,,,,,,
Computer Science,CS3331,Programming Languages,Programming Languages,,,,1,,,,,,,TRUE,,,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS3344,Computer Architecture,Hardware,Architecture,,,1,,,,,,,TRUE,,,,CS3304,D,,,,,,,,,,,,,
Computer Science,CS3352,Analysis of Algorithms,Algorithm,,1,,1,1,,,,,,,O,,,CS2336,D,,,,,,,,,,,,,MATH2305
Computer Science,CS3371,Computer Game Development I,Game Development,Computer Game Dev,,,1,,,,1,,,,O,,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS3372,Handheld Game Development,Game Development,Andriod Game Dev,,,1,,,,2,,3,,O,,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4071,Internship,Industry,,,,1,,,1,,,,,O,O,O,,,,,,,,,,O,,,,,
Computer Science,CS4091,Research,Research,,,,1,,,,,,,,O,O,O,,,,,,,,,,O,,,,,
Computer Science,CS4301,Automata Theory and Formal Languages,Compiler,Language Design,1,,1,,,,,,,,O,,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4302,Operating Systems,Operating System,,1,,1,1,,,,,,,,O,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4303,Operating System Security,Cybersecurity,,,,1,,,,,,,TRUE,,,,CS4320,D,,,,,,,,,,,,,
Computer Science,CS4306,Software Engineering,Software,,1,,1,,,,,,,,,O,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4307,Ethical Issues in Computing,Ethics,,,,1,,,,,,,,,O,,,,,,,,,,Junior,,,,,,
Computer Science,CS4308,Computer Graphics,Graphics,,,,1,,,,,,,TRUE,,,,CS2336,D,MATH2312,D,,,,,,,,,,,
Computer Science,CS4310,Database Security,Cybersecurity,Database,,,1,,,,,,,TRUE,,,,CS4320,D,,,,,,,,,,,,,
Computer Science,CS4312,Internet Technologies,Web Development,,,,1,,,,,,4,,,,O,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4314,Computer Networks,Cybersecurity,Network,,,1,1,1,,,2,,,,O,,,,,,,,,,,,,,,,
Computer Science,CS4318,Artificial Intelligence,Artificial Intelligence,,,,1,,,,3,,,,,O,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4319,Machine Learning,Machine Learning,Artificial Intelligence,,,1,,,,,,,,O,,,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4320,Introduction to Computer and Network Security,Cybersecurity,Network,,,1,1,1,,,3,,,O,,,,,,,,,,,,,,,,,
Computer Science,CS4321,Deep Learning,Artificial Intelligence,Deep Learning,,,1,,,,,,,TRUE,,,,CS4319,D,,,,,,,,,,,,,
Computer Science,CS4322,Image Processing,Image Processing,,,,1,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Computer Science,CS4325,Robotics,Robotics,,,,1,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Computer Science,CS4327,Reinforcement Learning,Artificial Intelligence,Machine Learning,,,1,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Computer Science,CS4330,Introduction to Data Science,Data Science,,,,1,,,,,,,,O,O,O,CS2336,D,,,,,,,,,,,,,
Computer Science,CS4333,Data Mining,Data Science,Big Data,,,1,,,,,,,TRUE,,,,CS3311,D,,,,,,,,,,,,,
Computer Science,CS4335,Big Data,Data Science,Big Data,,,1,,,,,,,TRUE,,,,CS3311,D,,,,,,,,,,,,,
Computer Science,CS4338,Knowledge Engineering in AI,Artificial Intelligence,,,,1,,,,,,,TRUE,,,,CS3311,D,,,,,,,,,,,,,
Computer Science,CS4339,AI Systems and Applications,Artificial Intelligence,,,,1,,,,,,,TRUE,,,,CS4318,D,,,,,,,,,,,,,
Computer Science,CS4340,Offensive Security Techniques,Cybersecurity,,,,1,,,1,,4,,,,O,,CS1314,D,CS3310,D,CS4314,D,CS4320,D,,,,,,,
Computer Science,CS4341,Natural Language Processing,Artificial Intelligence,NLP,,,1,,,,,,,TRUE,,,,,,,,,,,,,,,,,,
Computer Science,CS4350,Advanced Offensive Security Techniques,Cybersecurity,,,,1,,,1,,,,TRUE,,,,CS3304,D,CS4340,D,,,,,,,,,,,
Computer Science,CS4360,Host and Device Security,Cybersecurity,,,,1,,,1,,,,,O,,,CS3310,D,CS4314,D,CS4320,D,,,,,,,,,
Computer Science,CS4370,Software Security,Cybersecurity,,,,1,,,1,,,,TRUE,,,,CS2336,D,CS4320,D,,,,,,,,,,,
Computer Science,CS4371,Computer Game Development II,Game Development,Computer Game Dev,,,1,,,,4,,,,,O,,CS3371,D,,,,,,,,,,,,,
Computer Science,CS4375,Cybersecurity Risk Management,Cybersecurity,,,,1,,,,,,,TRUE,,,,CS4320,D,,,,,,,,,,,,,
Computer Science,CS4380,Ethical Issues in Software Security,Cybersecurity,Ethics,,,1,,,1,,,,TRUE,,,,,,,,,,,,,,,,,,
Computer Science,CS4381,Special Topics in Computer Science,Special Topics,,,,1,,,,,,,,O,O,O,,,,,,,,,,,,,,,
Computer Science,CS4389,Digital Forensics,Cybersecurity,Digital Forensics,,,1,,,1,,,,,,O,,CS2336,D,CS4320,D,,,,,,,,,,,
Computer Science,CS4390,Cryptography,Cybersecurity,Cryptography,,,1,1,,1,,,,,O,,,CS2336,D,MATH2305,D,,,,,,,,,,,
Computer Science,CS4392,Cloud Security,Cybersecurity,Cloud Security,,,1,,,1,,,,,,O,,CS4314,D,CS4320,D,,,,,,,,,,,
Computer Science,CS4399,Senior Design Project,Capstone,,,,1,,,,,,,,O,O,,,,,,,,,,Senior,,,,,,
Border Security,BOR3307,Introduction to Cybersecurity,Cybersecurity,,,,1,,,,,4,,,O,O,,,,,,,,,,,,,,,,
Border Security,BOR3309,Information Security and Protection,Cybersecurity,,,,1,,,,,4,,,O,O,,,,,,,,,,,,,,,,
Border Security,BOR4303,Digital Footprints,Cybersecurity,Digital Footprint,,,1,,,,,4,,,O,O,,,,,,,,,,,,,,,,
Mathematics,MATH2305,Discrete Mathematics,Discrete Math,,1,,,1,,,,,,,O,O,O,,,,,,,,,,,,,,,
Mathematics,MATH2312,Precalculus,Calculus,,1,,,1,,,,,,,O,O,O,MATH1314,D,,,,,,,,,,,,,
Mathematics,MATH1314,College Algebra,Algebra,,1,,,1,,,,,,,O,O,O,,,,,,,,,,,,,,,
